ticker,risk_score,sentiment,negative_ratio,regime,signal
ABBV,0.095,neutral,0.0,0,STRONG_BUY
ABT,0.156,neutral,0.0,0,STRONG_BUY
ADBE,0.34099999999999997,neutral,0.0,0,BUY
AMAT,0.5225,neutral,0.0,0,HOLD
AMD,0.3255,neutral,0.0,0,BUY
AMGN,0.625,neutral,0.0,0,HOLD
AMZN,0.896,neutral,0.0,0,AVOID
AVGO,0.2465,neutral,0.0,0,STRONG_BUY
AXP,1.0,neutral,0.4,0,AVOID
BA,0.9665,neutral,0.0,0,AVOID
BAC,0.275,neutral,0.0,0,STRONG_BUY
BK,0.542,neutral,0.0,0,HOLD
BLK,0.53,neutral,0.0,0,HOLD
BMY,0.38,neutral,0.0,0,BUY
BRK-B,1.0,neutral,0.0,0,AVOID
BURL,0.385,neutral,0.0,0,BUY
C,1.0,neutral,0.0,0,AVOID
CAT,0.4025,neutral,0.0,0,BUY
CDNS,0.32599999999999996,neutral,0.0,0,BUY
CI,0.8654999999999999,neutral,0.0,0,AVOID
CME,0.9444999999999999,neutral,0.0,0,AVOID
CMG,0.74,neutral,0.0,0,AVOID
COF,0.723,neutral,0.0,0,AVOID
COP,1.0,negative,0.5665,0,AVOID
COST,0.281,neutral,0.0,0,STRONG_BUY
CRM,0.49550000000000005,neutral,0.0,0,BUY
CSCO,0.366,neutral,0.0,0,BUY
CVS,1.0,neutral,0.133,0,AVOID
CVX,1.0,neutral,0.357,0,AVOID
DE,0.3035,neutral,0.0,0,BUY
DG,0.265,neutral,0.0,0,STRONG_BUY
DHR,1.0,neutral,0.0,0,AVOID
DUK,1.0,neutral,0.36650000000000005,0,AVOID
EOG,0.286,neutral,0.0,0,STRONG_BUY
GE,0.2745,neutral,0.0,0,STRONG_BUY
GILD,1.0,neutral,0.0,0,AVOID
GOOGL,0.5295,neutral,0.0,0,HOLD
GS,0.8,neutral,0.0,0,AVOID
HD,0.3035,neutral,0.0,0,BUY
HON,0.785,neutral,0.0,0,AVOID
HUM,0.8055,neutral,0.0,0,AVOID
IBM,0.8145,neutral,0.0,0,AVOID
INTC,0.28700000000000003,neutral,0.0,0,STRONG_BUY
INTU,0.41800000000000004,neutral,0.0,0,BUY
JNJ,1.0,negative,0.533,0,AVOID
JPM,0.625,neutral,0.0,0,HOLD
KLAC,1.0,neutral,0.0,0,AVOID
KO,0.2,neutral,0.0,0,STRONG_BUY
LLY,1.0,neutral,0.0,0,AVOID
LMT,0.426,neutral,0.0,0,BUY
LOW,0.2945,neutral,0.0,0,STRONG_BUY
LRCX,0.4585,neutral,0.0,0,BUY
MA,0.647,neutral,0.0,0,HOLD
MCD,0.3195,neutral,0.0,0,BUY
MDLZ,0.39449999999999996,neutral,0.0,0,BUY
META,0.5095000000000001,neutral,0.0,0,HOLD
MMM,0.367,neutral,0.0,0,BUY
MRK,0.275,neutral,0.0,0,STRONG_BUY
MS,1.0,neutral,0.0,0,AVOID
MSFT,0.343,neutral,0.0,0,BUY
MU,0.274,neutral,0.0,0,STRONG_BUY
NEE,0.243,neutral,0.0,0,STRONG_BUY
NFLX,0.8855,neutral,0.0,0,AVOID
NKE,0.5675,neutral,0.0,0,HOLD
NOW,0.643,neutral,0.071,0,HOLD
NVDA,0.251,neutral,0.0,0,STRONG_BUY
ORCL,0.397,neutral,0.0,0,BUY
PEP,0.49,neutral,0.0,0,BUY
PFE,0.7475,neutral,0.0,0,AVOID
PG,0.636,neutral,0.0,0,HOLD
PM,0.48,neutral,0.0,0,BUY
PNC,1.0,neutral,0.0,0,AVOID
QCOM,0.6,neutral,0.0,0,HOLD
ROST,0.05,neutral,0.0,0,STRONG_BUY
RTX,0.151,neutral,0.0,0,STRONG_BUY
SBUX,0.655,neutral,0.1605,0,HOLD
SCHW,0.16999999999999998,neutral,0.0,0,STRONG_BUY
SLB,0.07500000000000001,neutral,0.0,0,STRONG_BUY
SNPS,0.608,neutral,0.0,0,HOLD
SO,0.3695,neutral,0.0,0,BUY
SPGI,1.0,neutral,0.4,0,AVOID
T,1.0,neutral,0.40700000000000003,0,AVOID
TFC,1.0,neutral,0.0,0,AVOID
TGT,0.3425,neutral,0.0,0,BUY
TJX,0.05,neutral,0.0,0,STRONG_BUY
TMO,0.235,neutral,0.0,0,STRONG_BUY
TSLA,0.3945,neutral,0.0,0,BUY
TXN,1.0,neutral,0.4145,0,AVOID
ULTA,0.7375,neutral,0.0,0,AVOID
UNH,0.296,neutral,0.0,0,STRONG_BUY
UNP,0.3265,neutral,0.0,0,BUY
UPS,0.4515,neutral,0.0,0,BUY
USB,1.0,neutral,0.077,0,AVOID
V,0.6439999999999999,neutral,0.0,0,HOLD
VZ,0.1,neutral,0.0,0,STRONG_BUY
WFC,0.375,neutral,0.0,0,BUY
WMT,0.233,neutral,0.0,0,STRONG_BUY
XOM,1.0,neutral,0.0,0,AVOID
YUM,1.0,negative,0.6335,0,AVOID
